VAR,VAR_CAT
AGE_Continuous,""
SEX_Categorical,SEX_Categorical_0
SEX_Categorical,SEX_Categorical_1
RACE_Categorical,RACE_Categorical_1
RACE_Categorical,RACE_Categorical_2
RACE_Categorical,RACE_Categorical_3
RACE_Categorical,RACE_Categorical_4
RACE_Categorical,RACE_Categorical_5
RACE_Categorical,RACE_Categorical_6
SBP_Continuous,""
DBP_Continuous,""
f.30610.0.0_Continuous,""
f.30620.0.0_Continuous,""
f.30640.0.0_Continuous,""
f.30650.0.0_Continuous,""
f.30670.0.0_Continuous,""
f.30690.0.0_Continuous,""
f.30700.0.0_Continuous,""
f.30710.0.0_Continuous,""
f.30720.0.0_Continuous,""
f.30730.0.0_Continuous,""
f.30740.0.0_Continuous,""
f.30750.0.0_Continuous,""
f.30760.0.0_Continuous,""
f.30770.0.0_Continuous,""
f.30780.0.0_Continuous,""
f.30840.0.0_Continuous,""
f.30870.0.0_Continuous,""
f.30880.0.0_Continuous,""
f.48.0.0_Continuous,""
f.134.0.0_Categorical,f.134.0.0_Categorical_0
f.134.0.0_Categorical,f.134.0.0_Categorical_1
f.134.0.0_Categorical,f.134.0.0_Categorical_2
f.134.0.0_Categorical,f.134.0.0_Categorical_3
f.134.0.0_Categorical,f.134.0.0_Categorical_4
f.134.0.0_Categorical,f.134.0.0_Categorical_5
f.134.0.0_Categorical,f.134.0.0_Categorical_6
f.135.0.0_Integer,""
f.136.0.0_Integer,""
f.137.0.0_Integer,""
f.864.0.0_Integer,""
f.874.0.0_Integer,""
f.884.0.0_Integer,""
f.904.0.0_Integer,""
f.924.0.0_Categorical,f.924.0.0_Categorical_1
f.924.0.0_Categorical,f.924.0.0_Categorical_2
f.924.0.0_Categorical,f.924.0.0_Categorical_3
f.943.0.0_Categorical,f.943.0.0_Categorical_0
f.943.0.0_Categorical,f.943.0.0_Categorical_1
f.943.0.0_Categorical,f.943.0.0_Categorical_2
f.943.0.0_Categorical,f.943.0.0_Categorical_3
f.943.0.0_Categorical,f.943.0.0_Categorical_4
f.943.0.0_Categorical,f.943.0.0_Categorical_5
f.1160.0.0_Integer,""
f.1170.0.0_Categorical,f.1170.0.0_Categorical_1
f.1170.0.0_Categorical,f.1170.0.0_Categorical_2
f.1170.0.0_Categorical,f.1170.0.0_Categorical_3
f.1170.0.0_Categorical,f.1170.0.0_Categorical_4
f.1180.0.0_Categorical,f.1180.0.0_Categorical_1
f.1180.0.0_Categorical,f.1180.0.0_Categorical_2
f.1180.0.0_Categorical,f.1180.0.0_Categorical_3
f.1180.0.0_Categorical,f.1180.0.0_Categorical_4
f.1190.0.0_Categorical,f.1190.0.0_Categorical_1
f.1190.0.0_Categorical,f.1190.0.0_Categorical_2
f.1190.0.0_Categorical,f.1190.0.0_Categorical_3
f.1200.0.0_Categorical,f.1200.0.0_Categorical_1
f.1200.0.0_Categorical,f.1200.0.0_Categorical_2
f.1200.0.0_Categorical,f.1200.0.0_Categorical_3
f.1210.0.0_Categorical,f.1210.0.0_Categorical_1
f.1210.0.0_Categorical,f.1210.0.0_Categorical_2
f.1220.0.0_Categorical,f.1220.0.0_Categorical_0
f.1220.0.0_Categorical,f.1220.0.0_Categorical_1
f.1220.0.0_Categorical,f.1220.0.0_Categorical_2
f.1220.0.0_Categorical,f.1220.0.0_Categorical_3
f.1239.0.0_Categorical,f.1239.0.0_Categorical_0
f.1239.0.0_Categorical,f.1239.0.0_Categorical_1
f.1239.0.0_Categorical,f.1239.0.0_Categorical_2
f.1249.0.0_Categorical,f.1249.0.0_Categorical_1
f.1249.0.0_Categorical,f.1249.0.0_Categorical_2
f.1249.0.0_Categorical,f.1249.0.0_Categorical_3
f.1249.0.0_Categorical,f.1249.0.0_Categorical_4
f.1259.0.0_Categorical,f.1259.0.0_Categorical_0
f.1259.0.0_Categorical,f.1259.0.0_Categorical_1
f.1259.0.0_Categorical,f.1259.0.0_Categorical_2
f.1269.0.0_Integer,""
f.1279.0.0_Integer,""
f.1299.0.0_Integer,""
f.1329.0.0_Categorical,f.1329.0.0_Categorical_0
f.1329.0.0_Categorical,f.1329.0.0_Categorical_1
f.1329.0.0_Categorical,f.1329.0.0_Categorical_2
f.1329.0.0_Categorical,f.1329.0.0_Categorical_3
f.1329.0.0_Categorical,f.1329.0.0_Categorical_4
f.1329.0.0_Categorical,f.1329.0.0_Categorical_5
f.1349.0.0_Categorical,f.1349.0.0_Categorical_0
f.1349.0.0_Categorical,f.1349.0.0_Categorical_1
f.1349.0.0_Categorical,f.1349.0.0_Categorical_2
f.1349.0.0_Categorical,f.1349.0.0_Categorical_3
f.1349.0.0_Categorical,f.1349.0.0_Categorical_4
f.1349.0.0_Categorical,f.1349.0.0_Categorical_5
f.1359.0.0_Categorical,f.1359.0.0_Categorical_0
f.1359.0.0_Categorical,f.1359.0.0_Categorical_1
f.1359.0.0_Categorical,f.1359.0.0_Categorical_2
f.1359.0.0_Categorical,f.1359.0.0_Categorical_3
f.1359.0.0_Categorical,f.1359.0.0_Categorical_4
f.1359.0.0_Categorical,f.1359.0.0_Categorical_5
f.1369.0.0_Categorical,f.1369.0.0_Categorical_0
f.1369.0.0_Categorical,f.1369.0.0_Categorical_1
f.1369.0.0_Categorical,f.1369.0.0_Categorical_2
f.1369.0.0_Categorical,f.1369.0.0_Categorical_3
f.1369.0.0_Categorical,f.1369.0.0_Categorical_4
f.1369.0.0_Categorical,f.1369.0.0_Categorical_5
f.1379.0.0_Categorical,f.1379.0.0_Categorical_0
f.1379.0.0_Categorical,f.1379.0.0_Categorical_1
f.1379.0.0_Categorical,f.1379.0.0_Categorical_2
f.1379.0.0_Categorical,f.1379.0.0_Categorical_3
f.1379.0.0_Categorical,f.1379.0.0_Categorical_4
f.1379.0.0_Categorical,f.1379.0.0_Categorical_5
f.1389.0.0_Categorical,f.1389.0.0_Categorical_0
f.1389.0.0_Categorical,f.1389.0.0_Categorical_1
f.1389.0.0_Categorical,f.1389.0.0_Categorical_2
f.1389.0.0_Categorical,f.1389.0.0_Categorical_3
f.1389.0.0_Categorical,f.1389.0.0_Categorical_4
f.1389.0.0_Categorical,f.1389.0.0_Categorical_5
f.1408.0.0_Categorical,f.1408.0.0_Categorical_0
f.1408.0.0_Categorical,f.1408.0.0_Categorical_1
f.1408.0.0_Categorical,f.1408.0.0_Categorical_2
f.1408.0.0_Categorical,f.1408.0.0_Categorical_3
f.1408.0.0_Categorical,f.1408.0.0_Categorical_4
f.1408.0.0_Categorical,f.1408.0.0_Categorical_5
f.1478.0.0_Categorical,f.1478.0.0_Categorical_1
f.1478.0.0_Categorical,f.1478.0.0_Categorical_2
f.1478.0.0_Categorical,f.1478.0.0_Categorical_3
f.1478.0.0_Categorical,f.1478.0.0_Categorical_4
f.1488.0.0_Integer,""
f.1528.0.0_Integer,""
f.1538.0.0_Categorical,f.1538.0.0_Categorical_0
f.1538.0.0_Categorical,f.1538.0.0_Categorical_1
f.1538.0.0_Categorical,f.1538.0.0_Categorical_2
f.1558.0.0_Categorical,f.1558.0.0_Categorical_1
f.1558.0.0_Categorical,f.1558.0.0_Categorical_2
f.1558.0.0_Categorical,f.1558.0.0_Categorical_3
f.1558.0.0_Categorical,f.1558.0.0_Categorical_4
f.1558.0.0_Categorical,f.1558.0.0_Categorical_5
f.1558.0.0_Categorical,f.1558.0.0_Categorical_6
f.1628.0.0_Categorical,f.1628.0.0_Categorical_1
f.1628.0.0_Categorical,f.1628.0.0_Categorical_2
f.1628.0.0_Categorical,f.1628.0.0_Categorical_3
f.2178.0.0_Categorical,f.2178.0.0_Categorical_1
f.2178.0.0_Categorical,f.2178.0.0_Categorical_2
f.2178.0.0_Categorical,f.2178.0.0_Categorical_3
f.2178.0.0_Categorical,f.2178.0.0_Categorical_4
f.2188.0.0_Categorical,f.2188.0.0_Categorical_0
f.2188.0.0_Categorical,f.2188.0.0_Categorical_1
f.2306.0.0_Categorical,f.2306.0.0_Categorical_0
f.2306.0.0_Categorical,f.2306.0.0_Categorical_2
f.2306.0.0_Categorical,f.2306.0.0_Categorical_3
f.2463.0.0_Categorical,f.2463.0.0_Categorical_0
f.2463.0.0_Categorical,f.2463.0.0_Categorical_1
f.20117.0.0_Categorical,f.20117.0.0_Categorical_0
f.20117.0.0_Categorical,f.20117.0.0_Categorical_1
f.20117.0.0_Categorical,f.20117.0.0_Categorical_2
f.21001.0.0_Continuous,""
f.30000.0.0_Continuous,""
f.30010.0.0_Continuous,""
f.30020.0.0_Continuous,""
f.30030.0.0_Continuous,""
f.30040.0.0_Continuous,""
f.30050.0.0_Continuous,""
f.30060.0.0_Continuous,""
f.30070.0.0_Continuous,""
f.30080.0.0_Continuous,""
f.30090.0.0_Continuous,""
f.30100.0.0_Continuous,""
f.30110.0.0_Continuous,""
f.30120.0.0_Continuous,""
f.30130.0.0_Continuous,""
f.30140.0.0_Continuous,""
f.30150.0.0_Continuous,""
f.30160.0.0_Continuous,""
f.30170.0.0_Continuous,""
f.30180.0.0_Continuous,""
f.30190.0.0_Continuous,""
f.30200.0.0_Continuous,""
f.30210.0.0_Continuous,""
f.30220.0.0_Continuous,""
f.30240.0.0_Continuous,""
f.30250.0.0_Continuous,""
f.30260.0.0_Continuous,""
f.30270.0.0_Continuous,""
f.30280.0.0_Continuous,""
f.30290.0.0_Continuous,""
f.30300.0.0_Continuous,""
f.30510.0.0_Continuous,""
f.30520.0.0_Continuous,""
f.30530.0.0_Continuous,""
f.6155.0_Categorical,f.6155.0_Categorical_0
f.6155.0_Categorical,f.6155.0_Categorical_1
f.6177.0_1_Categorical,f.6177.0_1_Categorical_0
f.6177.0_1_Categorical,f.6177.0_1_Categorical_1
f.6177.0_2_Categorical,f.6177.0_2_Categorical_0
f.6177.0_2_Categorical,f.6177.0_2_Categorical_1
f.6177.0_3_Categorical,f.6177.0_3_Categorical_0
f.6177.0_3_Categorical,f.6177.0_3_Categorical_1
f.6154.0_Categorical,f.6154.0_Categorical_0
f.6154.0_Categorical,f.6154.0_Categorical_1
f.6153.0_1_Categorical,f.6153.0_1_Categorical_0
f.6153.0_1_Categorical,f.6153.0_1_Categorical_1
f.6153.0_2_Categorical,f.6153.0_2_Categorical_0
f.6153.0_2_Categorical,f.6153.0_2_Categorical_1
f.6153.0_3_Categorical,f.6153.0_3_Categorical_0
f.6153.0_3_Categorical,f.6153.0_3_Categorical_1
f.6153.0_4_Categorical,f.6153.0_4_Categorical_0
f.6153.0_4_Categorical,f.6153.0_4_Categorical_1
f.6153.0_5_Categorical,f.6153.0_5_Categorical_0
f.6153.0_5_Categorical,f.6153.0_5_Categorical_1
f.6179.0_Categorical,f.6179.0_Categorical_0
f.6179.0_Categorical,f.6179.0_Categorical_1
f.6159.0_1_Categorical,f.6159.0_1_Categorical_0
f.6159.0_1_Categorical,f.6159.0_1_Categorical_1
f.6159.0_2_Categorical,f.6159.0_2_Categorical_0
f.6159.0_2_Categorical,f.6159.0_2_Categorical_1
f.6159.0_3_Categorical,f.6159.0_3_Categorical_0
f.6159.0_3_Categorical,f.6159.0_3_Categorical_1
f.6159.0_4_Categorical,f.6159.0_4_Categorical_0
f.6159.0_4_Categorical,f.6159.0_4_Categorical_1
f.6159.0_5_Categorical,f.6159.0_5_Categorical_0
f.6159.0_5_Categorical,f.6159.0_5_Categorical_1
f.6159.0_6_Categorical,f.6159.0_6_Categorical_0
f.6159.0_6_Categorical,f.6159.0_6_Categorical_1
f.6159.0_7_Categorical,f.6159.0_7_Categorical_0
f.6159.0_7_Categorical,f.6159.0_7_Categorical_1
f.6159.0_8_Categorical,f.6159.0_8_Categorical_0
f.6159.0_8_Categorical,f.6159.0_8_Categorical_1
f.6164.0_1_Categorical,f.6164.0_1_Categorical_0
f.6164.0_1_Categorical,f.6164.0_1_Categorical_1
f.6164.0_2_Categorical,f.6164.0_2_Categorical_0
f.6164.0_2_Categorical,f.6164.0_2_Categorical_1
f.6164.0_3_Categorical,f.6164.0_3_Categorical_0
f.6164.0_3_Categorical,f.6164.0_3_Categorical_1
f.6164.0_4_Categorical,f.6164.0_4_Categorical_0
f.6164.0_4_Categorical,f.6164.0_4_Categorical_1
f.6164.0_5_Categorical,f.6164.0_5_Categorical_0
f.6164.0_5_Categorical,f.6164.0_5_Categorical_1
MED_ANTIPLT_Categorical,MED_ANTIPLT_Categorical_0
MED_ANTIPLT_Categorical,MED_ANTIPLT_Categorical_1
MED_ANTIPSYCHO_Categorical,MED_ANTIPSYCHO_Categorical_0
MED_ANTIPSYCHO_Categorical,MED_ANTIPSYCHO_Categorical_1
MED_ANTIDM_Categorical,MED_ANTIDM_Categorical_0
MED_ANTIDM_Categorical,MED_ANTIDM_Categorical_1
MED_ANTIDM_CVD_BNF_Categorical,MED_ANTIDM_CVD_BNF_Categorical_0
MED_ANTIDM_CVD_BNF_Categorical,MED_ANTIDM_CVD_BNF_Categorical_1
MED_INSULIN_Categorical,MED_INSULIN_Categorical_0
MED_INSULIN_Categorical,MED_INSULIN_Categorical_1
MED_MEFORMIN_Categorical,MED_MEFORMIN_Categorical_0
MED_MEFORMIN_Categorical,MED_MEFORMIN_Categorical_1
MED_ERECTILE_Categorical,MED_ERECTILE_Categorical_0
MED_ERECTILE_Categorical,MED_ERECTILE_Categorical_1
MED_FEM_HORM_Categorical,MED_FEM_HORM_Categorical_0
MED_FEM_HORM_Categorical,MED_FEM_HORM_Categorical_1
MED_LIPID_Categorical,MED_LIPID_Categorical_0
MED_LIPID_Categorical,MED_LIPID_Categorical_1
MED_STATIN_Categorical,MED_STATIN_Categorical_0
MED_STATIN_Categorical,MED_STATIN_Categorical_1
MED_STEROID_Categorical,MED_STEROID_Categorical_0
MED_STEROID_Categorical,MED_STEROID_Categorical_1
MED_ANTIHYP_Categorical,MED_ANTIHYP_Categorical_0
MED_ANTIHYP_Categorical,MED_ANTIHYP_Categorical_1
ICD_BLD_Categorical,ICD_BLD_Categorical_0
ICD_BLD_Categorical,ICD_BLD_Categorical_1
ICD_CANCER_Categorical,ICD_CANCER_Categorical_0
ICD_CANCER_Categorical,ICD_CANCER_Categorical_1
ICD_MET_Categorical,ICD_MET_Categorical_0
ICD_MET_Categorical,ICD_MET_Categorical_1
ICD_MENTAL_Categorical,ICD_MENTAL_Categorical_0
ICD_MENTAL_Categorical,ICD_MENTAL_Categorical_1
ICD_NEURO_Categorical,ICD_NEURO_Categorical_0
ICD_NEURO_Categorical,ICD_NEURO_Categorical_1
ICD_RESP_Categorical,ICD_RESP_Categorical_0
ICD_RESP_Categorical,ICD_RESP_Categorical_1
ICD_GASTRO_Categorical,ICD_GASTRO_Categorical_0
ICD_GASTRO_Categorical,ICD_GASTRO_Categorical_1
ICD_CIRC_Categorical,ICD_CIRC_Categorical_0
ICD_CIRC_Categorical,ICD_CIRC_Categorical_1
ICD_RENAL_Categorical,ICD_RENAL_Categorical_0
ICD_RENAL_Categorical,ICD_RENAL_Categorical_1
ICD_AIM_Categorical,ICD_AIM_Categorical_0
ICD_AIM_Categorical,ICD_AIM_Categorical_1
